changepoints,mean,param,genus
1440,-23.14857142857143,d13C_mean,Capra
1440,3.9122222222222223,d15N_mean,Capra
0,8.47,C_mean,Capra
1440,40.034166666666664,C_mean,Capra
0,2.58,N_mean,Capra
1440,14.756666666666666,N_mean,Capra
1440,3.197142857142857,C/N_mean,Capra
1440,0.13940569150409318,yield_mean,Capra
0,0.5535654215970469,AP_mean,Capra
1440,5.814097216591754,AP_mean,Capra
1080,-26.269666666666666,d13C_mean,Odocoileus
1080,4.124,d15N_mean,Odocoileus
5,17.506666666666668,C_mean,Odocoileus
1080,41.968518518518515,C_mean,Odocoileus
5,5.516666666666667,N_mean,Odocoileus
1080,14.231481481481481,N_mean,Odocoileus
1080,3.475,C/N_mean,Odocoileus
1080,0.24793330689972426,yield_mean,Odocoileus
10,2.426961284075534,AP_mean,Odocoileus
1080,6.868264519133158,AP_mean,Odocoileus
1080,-15.173666666666666,d13C_mean,Prionace
1080,11.851666666666667,d15N_mean,Prionace
5,12.058333333333334,C_mean,Prionace
1080,29.602962962962962,C_mean,Prionace
5,3.9516666666666667,N_mean,Prionace
1080,9.762407407407407,N_mean,Prionace
1080,3.5413333333333332,C/N_mean,Prionace
1080,0.25066982161618734,yield_mean,Prionace
110,2.724059537901832,AP_mean,Prionace
1080,6.749352319395369,AP_mean,Prionace
